"name","artists","duration_ms","release_date","year","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","valence","mode","key","popularity","explicit","count"
"Preludes: Op. 11, No. 10 in C-Sharp Minor","['Alexander Scriabin', 'Vladimir Horowitz']","81733","1928","1928","0.992","0.506","0.0151","0.868","0.104","-19.422","0.117","136.229","0.584","0","1","0","0","2"
"Preludes: Op. 11, No. 13 in G-Flat","['Alexander Scriabin', 'Vladimir Horowitz']","104667","1928","1928","0.995","0.403","0.0168","0.95","0.086","-28.944","0.0471","79.5","0.191","1","6","0","0","2"
"Preludes: Op. 11, No. 14 in E-Flat Minor","['Alexander Scriabin', 'Vladimir Horowitz']","57333","1928","1928","0.993","0.316","0.388","0.912","0.123","-14.338","0.038","79.385","0.456","0","8","0","0","2"
"Preludes: Op. 11, No. 16 in B-Flat Minor","['Alexander Scriabin', 'Vladimir Horowitz']","104667","1928","1928","0.995","0.224","0.0274","0.858","0.0995","-23.349","0.042","165.006","0.104","1","6","0","0","2"
"Preludes: Op. 11, No. 3 in G","['Alexander Scriabin', 'Vladimir Horowitz']","48627","1928","1928","0.996","0.393","0.0545","0.829","0.328","-27.582","0.0366","70.495","0.374","1","7","0","0","2"
"Preludes: Op. 11, No. 9 in E","['Alexander Scriabin', 'Vladimir Horowitz']","105200","1928","1928","0.995","0.345","0.00604","0.83","0.0667","-29.135","0.0634","85.674","0.207","1","4","0","0","2"
"Preludes: Op. 13, No. 6 in B-Minor","['Alexander Scriabin', 'Vladimir Horowitz']","90933","1928","1928","0.995","0.358","0.193","0.885","0.189","-19.492","0.0398","87.527","0.405","0","11","0","0","2"
"Preludes: Op. 15, No. 2 in F-Sharp Minor","['Alexander Scriabin', 'Vladimir Horowitz']","44040","1928","1928","0.992","0.285","0.0892","0.874","0.122","-28.054","0.0358","66.789","0.589","0","6","0","0","2"
"Preludes: Op. 16, No. 1 in B","['Alexander Scriabin', 'Vladimir Horowitz']","172560","1928","1928","0.995","0.277","0.00573","0.864","0.0716","-28.989","0.0515","76.57","0.253","1","11","0","0","2"
"Preludes: Op. 16, No. 4 in E-Flat Minor","['Alexander Scriabin', 'Vladimir Horowitz']","66640","1928","1928","0.993","0.566","0.00164","0.983","0.0861","-34.264","0.056","82.699","0.166","1","11","0","0","2"
"Preludes: Op. 27, No. 1 in G-Minor","['Alexander Scriabin', 'Vladimir Horowitz']","89067","1928","1928","0.995","0.321","0.228","0.85","0.126","-18.111","0.0696","77.439","0.0575","0","0","0","0","2"
"Preludes: Op. 48, No. 3 in D-Flat","['Alexander Scriabin', 'Vladimir Horowitz']","53133","1928","1928","0.996","0.217","0.0305","0.868","0.12","-29.533","0.0416","85.269","0.233","0","10","0","0","2"
"Preludes: Op. 51, No. 2 in A-Minor","['Alexander Scriabin', 'Vladimir Horowitz']","146627","1928","1928","0.995","0.524","0.00454","0.967","0.0851","-31.155","0.182","111.463","0.222","1","5","0","0","2"
"Preludes: Op. 59, No. 2","['Alexander Scriabin', 'Vladimir Horowitz']","97627","1928","1928","0.995","0.411","0.211","0.876","0.106","-16.423","0.0489","79.812","0.119","0","2","0","0","2"
"Preludes: Op. 67, No. 1","['Alexander Scriabin', 'Vladimir Horowitz']","106573","1928","1928","0.996","0.329","0.0119","0.888","0.084","-31.583","0.0455","74.675","0.0392","0","4","0","0","2"
"Presto in B-Flat","['Francis Poulenc', 'Vladimir Horowitz']","87560","1928","1928","0.992","0.386","0.226","0.932","0.135","-19.55","0.0298","97.947","0.409","1","10","0","0","2"
"Pulcinella Suite: IIIa. Scherzino","['Igor Stravinsky', 'Columbia Symphony Orchestra']","105693","1948","1948","0.945","0.426","0.131","0.893","0.107","-17.891","0.0391","110.275","0.453","1","0","0","0","2"
"Pulcinella Suite: IIIb. Allegro","['Igor Stravinsky', 'Columbia Symphony Orchestra']","62373","1948","1948","0.944","0.594","0.374","0.946","0.285","-16.109","0.0352","129.702","0.755","1","9","0","0","2"
"Pulcinella Suite: V. Toccata. Allegro","['Igor Stravinsky', 'Columbia Symphony Orchestra']","55760","1948","1948","0.984","0.82","0.452","0.96","0.162","-15.365","0.0405","114.561","0.76","1","11","0","0","2"
"Pulcinella Suite: VI. Gavotta con due variazioni. Allegro moderato - Var. I. Allegretto - Var. II. Allegro più tosto moderato","['Igor Stravinsky', 'Columbia Symphony Orchestra']","256973","1948","1948","0.995","0.188","0.028","0.917","0.0845","-29.797","0.0477","79.047","0.282","1","2","0","0","2"
